ZIP,MYear,Fuel,Make,Duty,Vehicles
90001,2008,Gasoline ,FORD,Light,71
90001,2008,Gasoline ,GMC,Light,21
90001,2008,Gasoline ,HONDA,Light,138
90001,2008,Gasoline ,HYUNDAI,Light,22
90001,2008,Gasoline ,INFINITI,Light,28
90001,2008,Gasoline ,JEEP,Light,28
90001,2008,Gasoline ,KIA,Light,20
90001,2008,Gasoline ,LEXUS,Light,17
90001,2008,Gasoline ,MAZDA,Light,19
90001,2008,Gasoline ,NISSAN,Light,138
90001,2008,Gasoline ,OTHER/UNK,Heavy,2
90001,2008,Gasoline ,OTHER/UNK,Light,64
90001,2008,Gasoline ,SATURN,Light,15
90001,2008,Gasoline ,SCION,Light,49
90001,2008,Gasoline ,TOYOTA,Light,179
90001,2008,Gasoline ,VOLKSWAGEN,Light,16
90001,2008,HG,OTHER/UNK,Light,23
90001,2008,HG,TOYOTA,Light,20
90001,2009,Diesel and Diesel Hybrid ,FREIGHTLINER,Heavy,27
90001,2009,Diesel and Diesel Hybrid ,INTERNATIONAL,Heavy,13
90001,2009,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,22
90001,2009,Diesel and Diesel Hybrid ,OTHER/UNK,Light,4
90001,2009,FXE,CHEVROLET,Light,14
90001,2009,FXE,OTHER/UNK,Heavy,2
90001,2009,FXE,OTHER/UNK,Light,28
90001,2009,Gasoline ,BMW,Light,20
90001,2009,Gasoline ,CHEVROLET,Light,49
90001,2009,Gasoline ,DODGE,Light,31
90001,2009,Gasoline ,FORD,Light,32
90001,2009,Gasoline ,HONDA,Light,84
90001,2009,Gasoline ,HYUNDAI,Light,16
90001,2009,Gasoline ,INFINITI,Light,16
90001,2009,Gasoline ,KIA,Light,16
90001,2009,Gasoline ,LEXUS,Light,11
90001,2009,Gasoline ,NISSAN,Light,102
90001,2009,Gasoline ,OTHER/UNK,Heavy,2
90001,2009,Gasoline ,OTHER/UNK,Light,81
90001,2009,Gasoline ,SCION,Light,27
90001,2009,Gasoline ,TOYOTA,Light,152
90001,2009,Gasoline ,VOLKSWAGEN,Light,12
90001,2009,HG,OTHER/UNK,Light,17
90001,2009,N,OTHER/UNK,Heavy,2
90001,2010,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,30
90001,2010,Diesel and Diesel Hybrid ,OTHER/UNK,Light,2
90001,2010,FXE,CHEVROLET,Light,24
90001,2010,FXE,FORD,Light,13
90001,2010,FXE,OTHER/UNK,Light,17
