Rank,Best-Selling Vehicle,Type,2017 Sales
1,Ford F-Series,Truck,896764
2,Chevrolet Silverado,Truck,585564
3,Ram P/U,Truck,500723
4,Toyota RAV4,SUV,407594
5,Nissan Rogue,SUV,403465
6,Toyota Camry,car,387081
7,Honda CR-V,SUV,377895
8,Honda Civic,car,377286
9,Honda Accord,car,322655
10,Toyota Corolla,car,308695
11,Ford Escape,SUV,308296
12,Chevrolet Equinox,SUV,290458
13,Ford Explorer,SUV,271131
14,Nissan Altima,car,254996
15,Jeep Grand Cherokee,SUV,240696
16,Nissan Sentra,car,218451
17,GMC Sierra,Truck,217943
18,Toyota Highlander,SUV,215775
19,Ford Fusion,car,209623
20,Hyundai Elantra,SUV,198210
